epoch,train_loss,val_cosine,val_mse,val_nll,val_uncertainty_mean,val_uncertainty_std,val_logvar_mean,val_logvar_std,val_logvar_clamp_fraction,val_spearman_u_e,embedding_error_mean
1,0.8002003610134125,0.5256377458572388,0.0018529777880758047,,,,,,,,
2,0.7228018550078074,0.5790010690689087,0.001644527306780219,,,,,,,,
3,0.7120549329121908,0.5966880917549133,0.0015754376072436571,,,,,,,,
4,0.7048142151037852,0.6038174629211426,0.0015475880354642868,,,,,,,,
5,0.7031373544534048,0.6130587458610535,0.00151148927398026,,,,,,,,
6,0.7041588119665781,0.5987398028373718,0.00156742287799716,,,,,,,,
7,0.6997170992692312,0.6165526509284973,0.001497841440141201,,,,,,,,
8,0.7023807203769684,0.6039348840713501,0.0015471293590962887,,,,,,,,
9,0.7004667937755584,0.616089403629303,0.0014996512327343225,,,,,,,,
10,0.6999091303348541,0.6108404397964478,0.0015201547648757696,,,,,,,,
11,0.6990819215774536,0.6131986975669861,0.001510943053290248,,,,,,,,
12,0.6972248391310374,0.6137478947639465,0.0015087974024936557,,,,,,,,
13,0.6986786683400472,0.6060242652893066,0.001538967713713646,,,,,,,,
14,0.6964899071057638,0.6162906885147095,0.001498864614404738,,,,,,,,
15,0.697564107577006,0.6107848286628723,0.0015203719958662987,,,,,,,,
16,0.6941096063454946,0.610782265663147,0.001520381891168654,,,,,,,,
17,0.6976035706202189,0.609056830406189,0.001527121989056468,,,,,,,,
